Date : 2022-02-01 17:40:12
Directory : j:\my_all_prog2\my_ecommerce
Total : 209 files,  11435 codes, 907 comments, 1512 blanks, all 13854 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| android\app\src\main\res\drawable-v21                                                                                                                  |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\values                                                                                                                        |          1 |         10 |          9 |          0 |         19 |
| android\app\src\main\res\values-night                                                                                                                  |          1 |         10 |          9 |          0 |         19 |
| android\app\src\profile                                                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                                    |         12 |        403 |          2 |         12 |        417 |
| ios\Flutter                                                                                                                                            |          1 |         26 |          0 |          1 |         27 |
| ios\Runner                                                                                                                                             |          9 |        361 |          2 |          9 |        372 |
| ios\Runner.xcodeproj                                                                                                                                   |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace                                                                                                               |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace                                                                                                                                 |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace\xcshareddata                                                                                                                    |          1 |          8 |          0 |          1 |          9 |
| ios\Runner\Assets.xcassets                                                                                                                             |          4 |        233 |          0 |          5 |        238 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                          |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                                                   |          1 |         52 |          0 |          1 |         53 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                        |          2 |         59 |          0 |          3 |         62 |
| ios\Runner\Base.lproj                                                                                                                                  |          2 |         68 |          2 |          1 |         71 |
| lib                                                                                                                                                    |        167 |     10,280 |        667 |      1,388 |     12,335 |
| lib\core                                                                                                                                               |         16 |        276 |         29 |         72 |        377 |
| lib\core\config                                                                                                                                        |          3 |         74 |          0 |         11 |         85 |
| lib\core\constants                                                                                                                                     |          2 |         11 |          4 |          7 |         22 |
| lib\core\error                                                                                                                                         |          3 |         54 |          5 |         19 |         78 |
| lib\core\networking                                                                                                                                    |          2 |         51 |         12 |         11 |         74 |
| lib\core\params                                                                                                                                        |          2 |         15 |          0 |          6 |         21 |
| lib\core\usecase                                                                                                                                       |          1 |          6 |          2 |          3 |         11 |
| lib\core\utils                                                                                                                                         |          2 |         60 |          3 |         11 |         74 |
| lib\dummey_data                                                                                                                                        |          2 |        211 |          1 |          5 |        217 |
| lib\features                                                                                                                                           |         90 |      6,916 |        423 |      1,011 |      8,350 |
| lib\features\auth                                                                                                                                      |         45 |      5,368 |        234 |        699 |      6,301 |
| lib\features\auth\application                                                                                                                          |          8 |      2,387 |        117 |        296 |      2,800 |
| lib\features\auth\application\auth_bloc                                                                                                                |          4 |        545 |         53 |         97 |        695 |
| lib\features\auth\application\sign_in_form_bloc                                                                                                        |          4 |      1,842 |         64 |        199 |      2,105 |
| lib\features\auth\domain                                                                                                                               |         16 |      1,934 |         58 |        280 |      2,272 |
| lib\features\auth\domain\failures                                                                                                                      |          4 |      1,632 |         51 |        218 |      1,901 |
| lib\features\auth\domain\interfaces                                                                                                                    |          3 |         44 |          0 |          8 |         52 |
| lib\features\auth\domain\models                                                                                                                        |          9 |        258 |          7 |         54 |        319 |
| lib\features\auth\infrastructure                                                                                                                       |          3 |        261 |         15 |         30 |        306 |
| lib\features\auth\infrastructure\data_source                                                                                                           |          2 |        146 |          8 |         17 |        171 |
| lib\features\auth\infrastructure\repositories                                                                                                          |          1 |        115 |          7 |         13 |        135 |
| lib\features\auth\presentation                                                                                                                         |         16 |        739 |         39 |         87 |        865 |
| lib\features\auth\presentation\screens                                                                                                                 |          2 |        103 |         14 |         19 |        136 |
| lib\features\auth\presentation\widgets                                                                                                                 |         14 |        636 |         25 |         68 |        729 |
| lib\features\cart                                                                                                                                      |          5 |        195 |         12 |         45 |        252 |
| lib\features\cart\bloc                                                                                                                                 |          3 |        140 |          7 |         32 |        179 |
| lib\features\cart\repositories                                                                                                                         |          1 |         47 |          2 |         10 |         59 |
| lib\features\category                                                                                                                                  |          7 |        138 |         20 |         32 |        190 |
| lib\features\category\data                                                                                                                             |          2 |         47 |         12 |          7 |         66 |
| lib\features\category\data\datasources                                                                                                                 |          1 |         35 |         12 |          5 |         52 |
| lib\features\category\data\repositories                                                                                                                |          1 |         12 |          0 |          2 |         14 |
| lib\features\category\domain                                                                                                                           |          1 |          5 |          0 |          2 |          7 |
| lib\features\category\domain\repositories                                                                                                              |          1 |          5 |          0 |          2 |          7 |
| lib\features\category\presentation                                                                                                                     |          3 |         72 |          1 |         18 |         91 |
| lib\features\category\presentation\bloc                                                                                                                |          3 |         72 |          1 |         18 |         91 |
| lib\features\checkout                                                                                                                                  |          7 |        365 |         62 |         57 |        484 |
| lib\features\checkout\datasources                                                                                                                      |          1 |         24 |          0 |          5 |         29 |
| lib\features\checkout\models                                                                                                                           |          1 |        164 |          0 |         20 |        184 |
| lib\features\checkout\presentation                                                                                                                     |          3 |        147 |         53 |         23 |        223 |
| lib\features\checkout\presentation\bloc                                                                                                                |          3 |        147 |         53 |         23 |        223 |
| lib\features\checkout\repositories                                                                                                                     |          1 |         20 |          0 |          4 |         24 |
| lib\features\convert_all_products_to_card_widget_for_home_screen                                                                                       |          1 |         16 |          8 |          3 |         27 |
| lib\features\product                                                                                                                                   |          7 |        190 |          8 |         39 |        237 |
| lib\features\product\data                                                                                                                              |          2 |         53 |          0 |          9 |         62 |
| lib\features\product\data\datasources                                                                                                                  |          1 |         40 |          0 |          6 |         46 |
| lib\features\product\data\repositories                                                                                                                 |          1 |         13 |          0 |          3 |         16 |
| lib\features\product\domain                                                                                                                            |          1 |          5 |          0 |          2 |          7 |
| lib\features\product\domain\repositories                                                                                                               |          1 |          5 |          0 |          2 |          7 |
| lib\features\product\presentation                                                                                                                      |          3 |        122 |          3 |         24 |        149 |
| lib\features\product\presentation\bloc                                                                                                                 |          3 |        122 |          3 |         24 |        149 |
| lib\features\wish_list                                                                                                                                 |         18 |        644 |         79 |        136 |        859 |
| lib\features\wish_list\data                                                                                                                            |          4 |        295 |         42 |         46 |        383 |
| lib\features\wish_list\data\datasources                                                                                                                |          3 |        187 |          4 |         32 |        223 |
| lib\features\wish_list\data\repositories                                                                                                               |          1 |        108 |         38 |         14 |        160 |
| lib\features\wish_list\domain                                                                                                                          |         10 |        164 |         13 |         49 |        226 |
| lib\features\wish_list\domain\entities                                                                                                                 |          3 |         69 |         10 |         26 |        105 |
| lib\features\wish_list\domain\repositories                                                                                                             |          1 |         15 |          0 |          3 |         18 |
| lib\features\wish_list\domain\usecases                                                                                                                 |          6 |         80 |          3 |         20 |        103 |
| lib\features\wish_list\presentation                                                                                                                    |          3 |        145 |         13 |         35 |        193 |
| lib\features\wish_list\presentation\bloc                                                                                                               |          3 |        145 |         13 |         35 |        193 |
| lib\l10n                                                                                                                                               |          3 |         88 |          0 |          4 |         92 |
| lib\models                                                                                                                                             |          5 |        284 |         33 |         46 |        363 |
| lib\screens                                                                                                                                            |         11 |        770 |         49 |         54 |        873 |
| lib\screens\home_screen                                                                                                                                |          3 |        167 |          2 |         18 |        187 |
| lib\settings                                                                                                                                           |          8 |        304 |         54 |         46 |        404 |
| lib\settings\language_settings                                                                                                                         |          3 |         87 |          0 |         13 |        100 |
| lib\settings\language_settings\cubit                                                                                                                   |          2 |         30 |          0 |         10 |         40 |
| lib\settings\theme_settings                                                                                                                            |          4 |        167 |         54 |         28 |        249 |
| lib\settings\theme_settings\cubit                                                                                                                      |          2 |         49 |         15 |         14 |         78 |
| lib\widgets                                                                                                                                            |         30 |      1,323 |         65 |        134 |      1,522 |
| readme_files                                                                                                                                           |          1 |        128 |          0 |          0 |        128 |
| readme_files\first_wish_list_bloc_diagram_for_single_product                                                                                           |          1 |        128 |          0 |          0 |        128 |
| test                                                                                                                                                   |          7 |        191 |         59 |         35 |        285 |
| test\core                                                                                                                                              |          2 |        107 |         42 |         18 |        167 |
| test\core\networking                                                                                                                                   |          2 |        107 |         42 |         18 |        167 |
| test\features                                                                                                                                          |          1 |         42 |         10 |          8 |         60 |
| test\features\cart                                                                                                                                     |          1 |         42 |         10 |          8 |         60 |
| test\features\cart\repositories                                                                                                                        |          1 |         42 |         10 |          8 |         60 |
| test\fixtures                                                                                                                                          |          2 |         35 |          0 |          5 |         40 |
| web                                                                                                                                                    |          3 |        144 |         14 |         14 |        172 |
| web\splash                                                                                                                                             |          1 |         36 |          0 |          8 |         44 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| j:\my_all_prog2\my_ecommerce\I10n.yaml                                                                                                                 | YAML       |          3 |          0 |          0 |          3 |
| j:\my_all_prog2\my_ecommerce\README.md                                                                                                                 | Markdown   |         43 |          0 |         14 |         57 |
| j:\my_all_prog2\my_ecommerce\analysis_options.yaml                                                                                                     | YAML       |         14 |         24 |          5 |         43 |
| j:\my_all_prog2\my_ecommerce\android\app\build.gradle                                                                                                  | Groovy     |         48 |          6 |         12 |         66 |
| j:\my_all_prog2\my_ecommerce\android\app\src\debug\AndroidManifest.xml                                                                                 | XML        |          4 |          3 |          1 |          8 |
| j:\my_all_prog2\my_ecommerce\android\app\src\main\AndroidManifest.xml                                                                                  | XML        |         13 |         11 |          1 |         25 |
| j:\my_all_prog2\my_ecommerce\android\app\src\main\res\drawable-night-v21\launch_background.xml                                                         | XML        |          9 |          0 |          0 |          9 |
| j:\my_all_prog2\my_ecommerce\android\app\src\main\res\drawable-night\launch_background.xml                                                             | XML        |          9 |          0 |          0 |          9 |
| j:\my_all_prog2\my_ecommerce\android\app\src\main\res\drawable-v21\launch_background.xml                                                               | XML        |          9 |          0 |          0 |          9 |
| j:\my_all_prog2\my_ecommerce\android\app\src\main\res\drawable\launch_background.xml                                                                   | XML        |          9 |          0 |          0 |          9 |
| j:\my_all_prog2\my_ecommerce\android\app\src\main\res\values-night\styles.xml                                                                          | XML        |         10 |          9 |          0 |         19 |
| j:\my_all_prog2\my_ecommerce\android\app\src\main\res\values\styles.xml                                                                                | XML        |         10 |          9 |          0 |         19 |
| j:\my_all_prog2\my_ecommerce\android\app\src\profile\AndroidManifest.xml                                                                               | XML        |          4 |          3 |          1 |          8 |
| j:\my_all_prog2\my_ecommerce\android\build.gradle                                                                                                      | Groovy     |         26 |          0 |          5 |         31 |
| j:\my_all_prog2\my_ecommerce\android\gradle.properties                                                                                                 | Properties |          3 |          0 |          1 |          4 |
| j:\my_all_prog2\my_ecommerce\android\gradle\wrapper\gradle-wrapper.properties                                                                          | Properties |          5 |          1 |          1 |          7 |
| j:\my_all_prog2\my_ecommerce\android\settings.gradle                                                                                                   | Groovy     |          8 |          0 |          4 |         12 |
| j:\my_all_prog2\my_ecommerce\flutter_native_splash.yaml                                                                                                | YAML       |          5 |         56 |         10 |         71 |
| j:\my_all_prog2\my_ecommerce\ios\Flutter\AppFrameworkInfo.plist                                                                                        | XML        |         26 |          0 |          1 |         27 |
| j:\my_all_prog2\my_ecommerce\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                                            | XML        |          8 |          0 |          1 |          9 |
| j:\my_all_prog2\my_ecommerce\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                                                              | XML        |          8 |          0 |          1 |          9 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\AppDelegate.swift                                                                                              | Swift      |         12 |          0 |          2 |         14 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                                               | JSON       |        122 |          0 |          1 |        123 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json                                                        | JSON       |         52 |          0 |          1 |         53 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                                                             | JSON       |         56 |          0 |          1 |         57 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                                                                 | Markdown   |          3 |          0 |          2 |          5 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\Base.lproj\LaunchScreen.storyboard                                                                             | XML        |         43 |          1 |          0 |         44 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\Base.lproj\Main.storyboard                                                                                     | XML        |         25 |          1 |          1 |         27 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\Info.plist                                                                                                     | XML        |         47 |          0 |          0 |         47 |
| j:\my_all_prog2\my_ecommerce\ios\Runner\Runner-Bridging-Header.h                                                                                       | C++        |          1 |          0 |          1 |          2 |
| j:\my_all_prog2\my_ecommerce\lib\all_injection_containers.dart                                                                                         | Dart       |         30 |         10 |          8 |         48 |
| j:\my_all_prog2\my_ecommerce\lib\core\boxes.dart                                                                                                       | Dart       |          5 |          3 |          4 |         12 |
| j:\my_all_prog2\my_ecommerce\lib\core\config\app_routing.dart                                                                                          | Dart       |         59 |          0 |          6 |         65 |
| j:\my_all_prog2\my_ecommerce\lib\core\config\firebase_init.dart                                                                                        | Dart       |          4 |          0 |          2 |          6 |
| j:\my_all_prog2\my_ecommerce\lib\core\config\hive_init.dart                                                                                            | Dart       |         11 |          0 |          3 |         14 |
| j:\my_all_prog2\my_ecommerce\lib\core\constants\constants.dart                                                                                         | Dart       |          8 |          4 |          6 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\core\constants\hive_constants.dart                                                                                    | Dart       |          3 |          0 |          1 |          4 |
| j:\my_all_prog2\my_ecommerce\lib\core\error\errors.dart                                                                                                | Dart       |         11 |          0 |          3 |         14 |
| j:\my_all_prog2\my_ecommerce\lib\core\error\exceptions.dart                                                                                            | Dart       |         15 |          0 |          3 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\core\error\failure.dart                                                                                               | Dart       |         28 |          5 |         13 |         46 |
| j:\my_all_prog2\my_ecommerce\lib\core\networking\check_connection_using_url.dart                                                                       | Dart       |         24 |          0 |          3 |         27 |
| j:\my_all_prog2\my_ecommerce\lib\core\networking\network.dart                                                                                          | Dart       |         27 |         12 |          8 |         47 |
| j:\my_all_prog2\my_ecommerce\lib\core\params\no_params.dart                                                                                            | Dart       |          6 |          0 |          2 |          8 |
| j:\my_all_prog2\my_ecommerce\lib\core\params\wish_list_id_params.dart                                                                                  | Dart       |          9 |          0 |          4 |         13 |
| j:\my_all_prog2\my_ecommerce\lib\core\usecase\usecase.dart                                                                                             | Dart       |          6 |          2 |          3 |         11 |
| j:\my_all_prog2\my_ecommerce\lib\core\utils\curreny_converter.dart                                                                                     | Dart       |         22 |          3 |          5 |         30 |
| j:\my_all_prog2\my_ecommerce\lib\core\utils\date_coverter.dart                                                                                         | Dart       |         38 |          0 |          6 |         44 |
| j:\my_all_prog2\my_ecommerce\lib\dummey_data\category_dummey_data.dart                                                                                 | Dart       |         28 |          0 |          2 |         30 |
| j:\my_all_prog2\my_ecommerce\lib\dummey_data\product_dummey_data.dart                                                                                  | Dart       |        183 |          1 |          3 |        187 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\application\auth_bloc\auth_bloc.dart                                                                    | Dart       |         61 |         22 |         11 |         94 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\application\auth_bloc\auth_bloc.freezed.dart                                                            | Dart       |        465 |         30 |         81 |        576 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\application\auth_bloc\auth_event.dart                                                                   | Dart       |          7 |          0 |          2 |          9 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\application\auth_bloc\auth_state.dart                                                                   | Dart       |         12 |          1 |          3 |         16 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\application\sign_in_form_bloc\sign_in_form_bloc.dart                                                    | Dart       |        144 |          8 |          6 |        158 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\application\sign_in_form_bloc\sign_in_form_bloc.freezed.dart                                            | Dart       |      1,657 |         48 |        186 |      1,891 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\application\sign_in_form_bloc\sign_in_form_event.dart                                                   | Dart       |         18 |          0 |          4 |         22 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\application\sign_in_form_bloc\sign_in_form_state.dart                                                   | Dart       |         23 |          8 |          3 |         34 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\auth_injection_containers.dart                                                                          | Dart       |         36 |          5 |          4 |         45 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\failures\auth_failures.dart                                                                      | Dart       |         20 |          0 |          3 |         23 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\failures\auth_failures.freezed.dart                                                              | Dart       |        852 |         27 |        114 |        993 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\failures\value_failure.dart                                                                      | Dart       |         22 |          0 |          3 |         25 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\failures\value_failure.freezed.dart                                                              | Dart       |        738 |         24 |         98 |        860 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\interfaces\i_auth_facade.dart                                                                    | Dart       |         17 |          0 |          3 |         20 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\interfaces\i_logging_repository.dart                                                             | Dart       |         15 |          0 |          3 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\interfaces\i_user_firestore_database.dart                                                        | Dart       |         12 |          0 |          2 |         14 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\email_address.dart                                                                        | Dart       |         12 |          2 |          4 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\name.dart                                                                                 | Dart       |         12 |          0 |          3 |         15 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\password.dart                                                                             | Dart       |         12 |          2 |          4 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\phone_number.dart                                                                         | Dart       |         12 |          0 |          3 |         15 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\signed_in_user.dart                                                                       | Dart       |         80 |          1 |         14 |         95 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\user_form_value_objects.dart                                                              | Dart       |         49 |          0 |          7 |         56 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\user_id.dart                                                                              | Dart       |         11 |          0 |          4 |         15 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\value_object.dart                                                                         | Dart       |         30 |          2 |          9 |         41 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\domain\models\value_validators.dart                                                                     | Dart       |         40 |          0 |          6 |         46 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\firebase_injectable_module.dart                                                                         | Dart       |         11 |          0 |          2 |         13 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\infrastructure\data_source\firebase_auth_facade.dart                                                    | Dart       |        101 |          7 |         11 |        119 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\infrastructure\data_source\user_firestore_database.dart                                                 | Dart       |         45 |          1 |          6 |         52 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\infrastructure\repositories\logging_repository.dart                                                     | Dart       |        115 |          7 |         13 |        135 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\screens\login_screen.dart                                                                  | Dart       |         54 |          8 |         10 |         72 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\screens\sign_up_screen.dart                                                                | Dart       |         49 |          6 |          9 |         64 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\clip_shape.dart                                                                    | Dart       |        108 |          5 |         10 |        123 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\custom_logging_forms.dart                                                          | Dart       |         91 |          6 |         12 |        109 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\custom_shape_clipper.dart                                                          | Dart       |         41 |          3 |         11 |         55 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\custom_text_form_field.dart                                                        | Dart       |         47 |          0 |          5 |         52 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\email_text_form_field.dart                                                         | Dart       |         36 |          0 |          3 |         39 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\forget_pass_text_row.dart                                                          | Dart       |         30 |          0 |          3 |         33 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\log_with_social.dart                                                               | Dart       |         51 |         10 |          4 |         65 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\name_text_form_field.dart                                                          | Dart       |         35 |          0 |          2 |         37 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\not_have_account_sign_up_text.dart                                                 | Dart       |         41 |          1 |          4 |         46 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\password_text_form_field.dart                                                      | Dart       |         33 |          0 |          3 |         36 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\phone_text_form_field.dart                                                         | Dart       |         36 |          0 |          4 |         40 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\sign_in_text_row.dart                                                              | Dart       |         34 |          0 |          3 |         37 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\welcome_login_text.dart                                                            | Dart       |         40 |          0 |          3 |         43 |
| j:\my_all_prog2\my_ecommerce\lib\features\auth\presentation\widgets\widgets.dart                                                                       | Dart       |         13 |          0 |          1 |         14 |
| j:\my_all_prog2\my_ecommerce\lib\features\cart\bloc\cart_bloc.dart                                                                                     | Dart       |         87 |          2 |         10 |         99 |
| j:\my_all_prog2\my_ecommerce\lib\features\cart\bloc\cart_event.dart                                                                                    | Dart       |         33 |          0 |         12 |         45 |
| j:\my_all_prog2\my_ecommerce\lib\features\cart\bloc\cart_state.dart                                                                                    | Dart       |         20 |          5 |         10 |         35 |
| j:\my_all_prog2\my_ecommerce\lib\features\cart\cart_injection_container.dart                                                                           | Dart       |          8 |          3 |          3 |         14 |
| j:\my_all_prog2\my_ecommerce\lib\features\cart\repositories\cart_repository.dart                                                                       | Dart       |         47 |          2 |         10 |         59 |
| j:\my_all_prog2\my_ecommerce\lib\features\category\category_injection_containers.dart                                                                  | Dart       |         14 |          7 |          5 |         26 |
| j:\my_all_prog2\my_ecommerce\lib\features\category\data\datasources\firebase_data_source.dart                                                          | Dart       |         35 |         12 |          5 |         52 |
| j:\my_all_prog2\my_ecommerce\lib\features\category\data\repositories\category_repository_impl.dart                                                     | Dart       |         12 |          0 |          2 |         14 |
| j:\my_all_prog2\my_ecommerce\lib\features\category\domain\repositories\category_repository.dart                                                        | Dart       |          5 |          0 |          2 |          7 |
| j:\my_all_prog2\my_ecommerce\lib\features\category\presentation\bloc\category_bloc.dart                                                                | Dart       |         38 |          1 |          6 |         45 |
| j:\my_all_prog2\my_ecommerce\lib\features\category\presentation\bloc\category_event.dart                                                               | Dart       |         13 |          0 |          5 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\features\category\presentation\bloc\category_state.dart                                                               | Dart       |         21 |          0 |          7 |         28 |
| j:\my_all_prog2\my_ecommerce\lib\features\checkout\checkout_injection_container.dart                                                                   | Dart       |         10 |          9 |          5 |         24 |
| j:\my_all_prog2\my_ecommerce\lib\features\checkout\datasources\checkout_firebase_data_source.dart                                                      | Dart       |         24 |          0 |          5 |         29 |
| j:\my_all_prog2\my_ecommerce\lib\features\checkout\models\checkout_model.dart                                                                          | Dart       |        164 |          0 |         20 |        184 |
| j:\my_all_prog2\my_ecommerce\lib\features\checkout\presentation\bloc\checkout_bloc.dart                                                                | Dart       |         93 |          2 |          6 |        101 |
| j:\my_all_prog2\my_ecommerce\lib\features\checkout\presentation\bloc\checkout_event.dart                                                               | Dart       |         39 |          0 |          8 |         47 |
| j:\my_all_prog2\my_ecommerce\lib\features\checkout\presentation\bloc\checkout_state.dart                                                               | Dart       |         15 |         51 |          9 |         75 |
| j:\my_all_prog2\my_ecommerce\lib\features\checkout\repositories\base_checkout_repository.dart                                                          | Dart       |         20 |          0 |          4 |         24 |
| j:\my_all_prog2\my_ecommerce\lib\features\convert_all_products_to_card_widget_for_home_screen\convert_all_products_to_card_widget_for_home_screen.dart | Dart       |         16 |          8 |          3 |         27 |
| j:\my_all_prog2\my_ecommerce\lib\features\product\data\datasources\product_firebase_data_source.dart                                                   | Dart       |         40 |          0 |          6 |         46 |
| j:\my_all_prog2\my_ecommerce\lib\features\product\data\repositories\product_repository_impl.dart                                                       | Dart       |         13 |          0 |          3 |         16 |
| j:\my_all_prog2\my_ecommerce\lib\features\product\domain\repositories\abstract_product_repository.dart                                                 | Dart       |          5 |          0 |          2 |          7 |
| j:\my_all_prog2\my_ecommerce\lib\features\product\presentation\bloc\product_bloc.dart                                                                  | Dart       |         80 |          3 |          9 |         92 |
| j:\my_all_prog2\my_ecommerce\lib\features\product\presentation\bloc\product_event.dart                                                                 | Dart       |         21 |          0 |          8 |         29 |
| j:\my_all_prog2\my_ecommerce\lib\features\product\presentation\bloc\product_state.dart                                                                 | Dart       |         21 |          0 |          7 |         28 |
